name,province,lat,lng,population
Brownsburg-Chatham,QC,45.68342,-74.4159,6664
Brule Shore,NS,45.74074,-63.23788,592
Bruno,SK,52.26676,-105.51783,604
Brussels,ON,43.74316,-81.24998,1158
Buchans,NL,48.82461,-56.85669,590
Buena Vista,SK,52.11115,-106.66589,3419
Buffalo Narrows,SK,55.86086,-108.479,1014
Burford,ON,43.10292,-80.42869,1615
Burgeo,NL,47.61668,-57.61516,1307
Burin,NL,47.0829,-55.19071,2237
Burkeville,BC,49.18333,-123.15,819
Burk's Falls,ON,45.6168,-79.39965,957
Burlington,ON,43.38621,-79.83713,186948
Burnaby,BC,49.26636,-122.95263,249125
Burnaby Heights,BC,49.28333,-123,8280
Burnside,NS,44.70175,-63.60051,7506
Burns Lake,BC,54.22972,-125.76084,1779
Burnt Islands,NL,47.6,-58.88186,540
Burquitlam,BC,49.26667,-122.88333,14896
Cache Bay,ON,46.36679,-79.98297,641
Cache Creek,BC,50.81011,-121.3246,1061
Cadboro Bay,BC,48.46667,-123.3,4000
Caernarvon,AB,53.6125,-113.52639,4198
Caesarea,ON,44.15012,-78.83286,823
Calder,AB,53.58863,-113.52885,3995
Caledon,ON,43.86544,-79.99322,76581
Caledon East,ON,43.86913,-79.86691,4568
Calgary,AB,51.05011,-114.08529,1306784
Callander,ON,46.2168,-79.36632,3964
Callingwood North,AB,53.50833,-113.62361,2376
Callingwood South,AB,53.5,-113.625,5581
Calmar,AB,53.26683,-113.81874,2228
Calumet,QC,45.65148,-74.63536,550
Calvin Park,ON,44.23282,-76.52405,3685
Cambrian Heights,AB,51.08638,-114.09027,2000
Cambridge,NS,45.05725,-64.63478,703
Cambridge,ON,43.3601,-80.31269,129920
Cambridge Bay,NU,69.11489,-105.05484,1760
Cambridge-Narrows,NB,45.81204,-65.96415,715
Camlachie,ON,43.03596,-82.1616,7506
Campbell Creek,BC,50.65668,-120.08308,707
Campbellford,ON,44.30842,-77.79949,3372
Campbell River,BC,50.01634,-125.24459,33430
Camperville,MB,51.98832,-100.14365,820
Camrose,AB,53.01684,-112.83525,20405
Canal Flats,BC,50.14994,-115.81879,802
Candiac,QC,45.38338,-73.51587,15947
Canmore,AB,51.08335,-115.35206,13992
Canning,NS,45.15792,-64.4252,716
Canoe,BC,50.75,-119.23333,1081
Canora,SK,51.63328,-102.43425,2055
Canora,AB,53.54167,-113.58333,3309
Cantley,QC,45.5668,-75.78265,10412
Canyon Heights,BC,49.35493,-123.09743,2849
Canyon Meadows,AB,50.94285,-114.08092,7435
Cap-aux-Meules,QC,47.38208,-61.85968,12190
Cap-Chat,QC,49.09736,-66.68514,1466
Kinngait,NU,64.23378,-76.54372,1396
Cape St. George,NL,48.49175,-59.17697,809
Capilano,AB,53.55,-113.43333,2683
Capitol Hill,AB,51.07031,-114.09559,4670
Capitol Hill,BC,49.28333,-122.98333,6330
Cap-Pele,NB,46.21294,-64.27844,2441
Capreol,ON,46.70626,-80.92109,3260
Carberry,MB,49.86893,-99.36021,1738
Carbonear,NL,47.73919,-53.2272,4838
Cardston,AB,49.19998,-113.3019,3585
Cariboo,BC,49.25,-122.88333,22780
Carignan,QC,45.45008,-73.29916,7426
Carleton Place,ON,45.13341,-76.14938,11901
Carlisle,AB,53.60417,-113.525,3850
Carlyle,SK,49.63334,-102.26765,1508
Carmacks,YT,62.08835,-136.29295,588
Carman,MB,49.4992,-98.00156,3027
Carmanville,NL,49.39992,-54.2981,784
Carnduff,SK,49.17379,-101.79633,950
Caronport,SK,50.45006,-105.81787,972
Carp,ON,45.3501,-76.03267,1477
Carrot River,SK,53.28337,-103.58423,950
Carseland,AB,50.85011,-113.46864,542
Carstairs,AB,51.56681,-114.102,4077
Cartierville,QC,45.53118,-73.70358,34667
Cascade Heights,BC,49.25,-123.01667,7449
Casselman,ON,45.3168,-75.0826,3074
Casselman,AB,53.60972,-113.41944,3403
Cassidy,BC,49.04963,-123.886,995
Castlegar,BC,49.32317,-117.65831,8338
Castleridge,AB,51.10556,-113.95556,6130
Caswell Hill,SK,52.14032,-106.67561,3608
Catalina,NL,48.51659,-53.08135,845
Caulfeild,BC,49.35,-123.25,3757
Cedar,BC,49.11633,-123.8527,2836
Cedarbrae,AB,50.95648,-114.12975,5935
Centennial Place,NB,46.08333,-64.81667,7698
Central Business District,SK,52.13032,-106.66228,12101
Central McDougall,AB,53.55417,-113.5,4694
Central Saanich,BC,48.56634,-123.41932,17385
Centretown,ON,45.41534,-75.69639,25687
Centreville,NS,45.13345,-64.53207,1159
Centreville-Wareham-Trinity,NL,49.011,-53.889,1116
Chalk River,ON,46.01682,-77.44948,1025
Chambly,QC,45.45008,-73.28246,22608
Chambord,QC,48.43339,-72.06583,1773
Channel-Port aux Basques,NL,47.57286,-59.13808,3547
Chapais,QC,49.78344,-74.84919,1824
Chaparral,AB,50.88611,-114.03333,12500
Chapleau,ON,47.84053,-83.4034,1942
Charlemagne,QC,45.71678,-73.48247,5594
Charlottetown,PE,46.23459,-63.1256,38809
Chartersville,NB,46.08494,-64.73339,5600
Chase,BC,50.8165,-119.68571,2471
Chase River,BC,49.13333,-123.91667,2900
Châteauguay,QC,45.38338,-73.74919,42786
Chateh,AB,58.6714,-118.67638,700
Chatham,ON,42.41224,-82.18494,43550
Chelmsford,ON,46.58338,-81.19976,500
Chelsea,QC,45.5001,-75.78265,8000
Chemainus,BC,48.91633,-123.71937,3021
Cherryville,BC,50.24152,-118.61901,717
Chertsey,QC,46.07109,-73.89095,4836
Chester,NS,44.54225,-64.23891,2348
Chestermere,AB,51.03341,-113.81867,32255
Chetwynd,BC,55.69988,-121.63627,2587
Chibougamau,QC,49.91684,-74.36586,7563
Chicoutimi,QC,48.41963,-71.06369,69004
Chilliwack,BC,49.16638,-121.95257,101491
Chineside,BC,49.26667,-122.83333,2929
Chinook Park,AB,50.98286,-114.08838,1535
Chipman,NB,46.16934,-65.88386,1201
Chippawa,ON,43.0571,-79.04717,6077
Chisasibi,QC,53.78333,-78.9,5397
Chomedey,QC,45.53333,-73.75,94030
Christie Park,AB,51.0375,-114.175,1880
Christina Lake,BC,49.03967,-118.20847,1329
Churchill,MB,58.76811,-94.16674,899
Adelaide/Churchill,SK,52.10004,-106.64506,3706
Churchill Park,NL,47.577,-52.721,5086
Chute-aux-Outardes,QC,49.11679,-68.39896,2000
Citadel,AB,51.14533,-114.18125,10180
Clairmont,AB,55.26668,-118.78601,2799
Clarence-Rockland,ON,45.5501,-75.29101,20790
Clarenville,NL,48.1666,-53.96482,6704
Clarenville-Shoal Harbour,NL,48.1805,-53.96982,3478
Claresholm,AB,50.03332,-113.58524,3780
Clarke's Beach,NL,47.54246,-53.28395,1400
Clayburn,BC,49.0691,-122.26176,11755
Clayton Park,NS,44.66029,-63.64731,5201
Clearwater,BC,51.64061,-120.02769,2388
Cliff Bungalow,AB,51.03362,-114.07456,1805
Cliffcrest,ON,43.72192,-79.23091,15935
Clifford,ON,43.96917,-80.97917,875
Clinton,ON,43.61679,-81.53307,3113
Cloverdale,AB,53.53611,-113.47222,885
Cloverdale,BC,49.10797,-122.7276,73355
Clyde River,PE,46.21682,-63.26539,614
Clyde River,NS,43.63346,-65.48213,614
Clyde River,NU,70.47233,-68.58987,1181
Coach Hill,AB,51.05618,-114.18005,3275
Coaldale,AB,49.7167,-112.61854,8215
Coalhurst,AB,49.7464,-112.93246,2668
Coaticook,QC,45.13339,-71.79907,7021
Cobden,ON,45.63341,-76.88273,1071
Cobourg,ON,43.95977,-78.16515,18099
Cocagne,NB,46.33494,-64.61504,2757
Cochrane,ON,49.06689,-81.03307,5390
Cochrane,AB,51.18341,-114.46871,32199
Colchester,ON,41.98339,-82.93314,2334
Coldbrook,NS,45.06685,-64.58207,1206
Cold Lake,AB,54.46525,-110.18154,11595
Coldstream,BC,50.21649,-119.20235,11171
Coleman,AB,49.63332,-114.502,1441
College Park,SK,52.12143,-106.59478,6208
College Park East,SK,52.11949,-106.57561,4987
Colliers,NL,47.45295,-53.23148,613
Collingwood,ON,44.4834,-80.21638,21793
Colwood,BC,48.43293,-123.48591,16859
Commodore Park,NS,44.68037,-63.53094,1976
Comox,BC,49.68294,-124.93613,14806
Conception Bay South,NL,47.49989,-52.99806,27168
Conception Harbour,NL,47.44269,-53.21808,624
Concord,ON,43.80011,-79.48291,8255
Confederation Park,SK,52.14032,-106.73673,7571
Connaught Heights,BC,49.2,-122.95,2027
Constance Bay,ON,45.50011,-76.08267,2314
Contrecoeur,QC,45.85008,-73.23245,3587
Convoy Place,NS,44.66785,-63.61431,5581
Cookshire,QC,45.41536,-71.62962,1021
Cookshire-Eaton,QC,45.41675,-71.6324,5344
Cookstown,ON,44.18341,-79.69964,1214
Coombs,BC,49.29963,-124.41946,1612
Coquitlam,BC,49.2846,-122.78217,148625
Coral Harbour,NU,64.13829,-83.16539,1035
Coral Springs,AB,51.10139,-113.93056,5610
Cordova Bay,BC,48.51667,-123.36667,8100
Corner Brook,NL,48.95001,-57.95202,19316
Cornwall,PE,46.22652,-63.21809,6574
Cornwall,ON,45.01809,-74.72815,48821
Coronation Park,SK,50.47837,-104.62555,7235
Corunna,ON,42.88338,-82.43313,5686
Coteau-du-Lac,QC,45.30008,-74.18253,7044
Côte-Nord-du-Golfe-du-Saint-Laurent,QC,50.48,-59.616,787
Côte-Saint-Luc,QC,45.46536,-73.66585,31395
Country Hills,ON,43.415,-80.47389,4821
Country Hills,AB,51.16359,-114.05468,3660
Country Hills Village,AB,51.15833,-114.06528,2480
Courcelles,QC,45.87492,-70.98378,800
Courtenay,BC,49.68657,-124.9936,28420
Cove Cliff,BC,49.32282,-122.94888,1778
Coventry Hills,AB,51.16869,-114.05903,17350
Cowansville,QC,45.20008,-72.74913,10887
Cow Bay,NS,44.63141,-63.43218,1619
Cowie Hill,NS,44.63209,-63.62021,2694
Coxheath,NS,46.11684,-60.23175,2333
Cox's Cove,NL,49.11672,-58.0817,664
Crabtree,QC,45.96677,-73.46586,2248
Cranberry Portage,MB,54.58623,-101.37797,771
Cranbrook,BC,49.49991,-115.76879,20047
Crawford Plains,AB,53.43889,-113.40556,4381
Creighton,SK,54.75014,-101.90078,1203
Crescent Beach,BC,49.05,-122.88333,1200
Crescent Heights,AB,51.06276,-114.0683,6240
Creston,BC,49.09987,-116.50211,5583
Crestwood,AB,53.53333,-113.56667,2063
Crichton Park,NS,44.68093,-63.56658,2576
Crofton,BC,48.86633,-123.65266,1446
Cromdale,AB,53.56198,-113.46242,1914
Crossfield,AB,51.43341,-114.03528,2512
Cultus Lake,BC,49.06667,-121.96667,1164
Cumberland,BC,49.61634,-125.03613,3753
Dalhousie,AB,51.11161,-114.15876,8530
Dallas,BC,50.66648,-120.16919,4479
Dalmeny,SK,52.34077,-106.7712,1504
Daly Grove,AB,53.44861,-113.39722,3546
Danville,QC,45.78337,-72.0158,1761
Dartmouth,NS,44.67134,-63.57719,101343
Dashwood,BC,49.36633,-124.51947,982
Dauphin,MB,51.14941,-100.05023,8457
Daveluyville,QC,46.20006,-72.13239,1318
Davidson,SK,51.26676,-105.98449,1164
Dawson Creek,BC,55.75984,-120.2403,12323
Debert,NS,45.43345,-63.46539,1422
Deep Cove,BC,49.33333,-122.95,2251
Deep River,ON,46.10012,-77.49949,4296
Deer Lake,NL,49.16671,-57.43163,5319
Deer Ridge,AB,50.92641,-114.01423,3795
Deer Run,AB,50.91754,-114.00976,4910
Delaware,ON,42.91679,-81.41646,2521
Delbrook,BC,49.34554,-123.08327,2497
Delhi,ON,42.8501,-80.49968,5344
Delisle,SK,51.9236,-107.13518,1024
Deloraine,MB,49.19082,-100.49477,1068
Delson,QC,45.36678,-73.54917,7322
Delta,BC,49.08917,-123.05322,101668
Delton,AB,53.57814,-113.48173,2009
Delwood,AB,53.5949,-113.45615,3379
Denman Island,BC,49.53294,-124.8195,1020
Departure Bay,BC,49.20207,-123.97618,6540
Deseronto,ON,44.20012,-77.04944,1897
Deux-Montagnes,QC,45.53455,-73.90168,17402
Devon,NB,45.96378,-66.61696,1477
Devon,AB,53.36683,-113.73533,6545
Dewdney,BC,49.16667,-122.2,570
Diamond Cove,AB,50.94756,-114.0241,625
Didsbury,AB,51.66681,-114.13529,4134
Dieppe,NB,46.07844,-64.68735,27304
Dieppe-Westerra,SK,50.45726,-104.67611,2685
Digby,NS,44.62188,-65.7586,2001
Dildo,NL,47.56659,-53.5481,803
Dingwall,NS,46.90014,-60.46516,600
Discovery Ridge,AB,51.01591,-114.21284,4330
Disraeli,QC,45.90007,-71.34907,2212
Dolbeau-Mistassini,QC,48.8786,-72.23142,12916
Dollard-Des Ormeaux,QC,45.49452,-73.82419,48930
Dollarton,BC,49.31667,-122.95,2692
Dominion,NS,46.21684,-60.01515,1953
Donkin,NS,46.18344,-59.86514,532
Dorchester,NB,45.90155,-64.50795,906
Dorchester,ON,42.98339,-81.06643,9329
Dorset Park,ON,43.75386,-79.28215,25003
Dorval,QC,45.4473,-73.75335,18980
Douglas,NB,45.97832,-66.73108,5935
Douglas,BC,49.00278,-122.73555,3896
Douglasdale,AB,50.93889,-113.99306,12920
Dover,NL,48.8666,-53.9648,579
Dover,AB,51.01991,-113.99294,10795
Dovercourt,AB,53.57409,-113.55885,2030
Dowling,ON,46.59111,-81.33917,1466
Drayton Valley,AB,53.21682,-114.98544,6099
Drumheller,AB,51.46171,-112.71011,8430
Drummondville,QC,45.88336,-72.48241,59489
Dryden,ON,49.78334,-92.75032,8195
Dufferin,BC,50.66667,-120.38333,2783
Duggan,AB,53.47201,-113.50602,4530
Duncan,BC,48.78293,-123.70266,22199
Dundalk,ON,44.16792,-80.39357,2803
Dundarave,BC,49.3362,-123.18764,5350
Dundonald,SK,52.14838,-106.72839,5988
Dunham,QC,45.13338,-72.79913,3471
Dunluce,AB,53.62286,-113.52654,6341
Dunmore,AB,49.96676,-110.60163,1088
Dunnville,ON,42.90011,-79.61631,5907
Duvernay,QC,45.58333,-73.66667,37460
Duvernay-Est,QC,45.65476,-73.60514,14000
Eagle Bay,BC,50.93311,-119.21908,557
Eagle Ridge,BC,49.28778,-122.82167,11004
Ear Falls,ON,50.63955,-93.23526,995
East Angus,QC,45.48338,-71.66577,3634
Eastend,SK,49.51674,-108.81813,607
Eastern Kings,PE,46.4334,-62.09861,687
Eastern Passage,NS,44.61685,-63.48199,11738
East Gwillimbury,ON,44.10087,-79.43785,23991
East Meadows,NL,47.59989,-52.69804,1580
Eastmount,NB,45.30803,-66.03071,1697
East Preston,NS,44.72238,-63.41816,869
East Royalty,PE,46.27792,-63.10228,2529
East Sooke,BC,48.36639,-123.68361,1500
Eastview,SK,50.46393,-104.58944,1930
East Wellington,BC,49.17385,-124.01745,1444
Eastwood,AB,53.57493,-113.47152,3985
Eau Claire,AB,51.05062,-114.08006,1875
Eckville,AB,52.36274,-114.37011,1014
Edgemont,AB,51.12561,-114.14881,15225
Edmonton,AB,53.55014,-113.46871,1010899
Edson,AB,53.58345,-116.43559,7975
Eel Ground,NB,46.96537,-65.62883,1094
Eganville,ON,45.53341,-77.09945,1149
Ekota,AB,53.45,-113.44167,2563
Elbow Park,AB,51.0205,-114.08426,3285
Elboya,AB,51.0096,-114.07465,1835
Elkford,BC,50.01529,-114.92348,2585
Elk Point,AB,53.90017,-110.9017,1399
Ellenvale,NS,44.67742,-63.52022,3994
Ellerslie,AB,53.42876,-113.45641,5552
Elliot Lake,ON,46.38336,-82.63315,12508
Ellison,BC,49.93307,-119.36907,3094
Elmira,ON,43.60009,-80.5497,10790
